! Day# Year Month Day  MeanTemp(F) MinTemp MaxTemp  MeanTd(F) MinTd MaxTd  MeanRH MinRH MaxRH  MeanWS(mph) MaxWS  MeanPres(mb) MinPres MaxPres  Rain(inch)
  4109 2016    11   9         48.9    30.7    69.3       24.4  20.2  31.4    42.9  17.0  73.0          2.4    12           0.0 1000000.0 -1000000.0        0.00
  4110 2016    11  10         51.0    32.9    68.3       27.3  20.2  33.6    42.1  23.0  66.0          3.3    19           0.0 1000000.0 -1000000.0        0.00
  4111 2016    11  11         45.2    32.7    59.9       28.9  25.0  32.9    54.4  34.0  75.0          2.3    14           0.0 1000000.0 -1000000.0        0.00
  4112 2016    11  12         46.5    29.1    66.8       27.7  23.5  34.0    51.8  25.0  81.0          2.0    11           0.0 1000000.0 -1000000.0        0.00
  4113 2016    11  13         51.6    36.4    65.2       26.6  22.7  34.0    40.0  20.0  67.0          3.7    27           0.0 1000000.0 -1000000.0        0.00
  4114 2016    11  14         53.4    32.3    71.4       26.2  23.1  29.0    39.9  18.0  72.0          5.9    31           0.0 1000000.0 -1000000.0        0.00
  4115 2016    11  15         61.4    47.9    78.1       21.9  11.2  29.6    23.5   8.0  41.0          4.8    28           0.0 1000000.0 -1000000.0        0.00
  4116 2016    11  16         65.2    44.3    78.8       17.2   9.9  27.3    17.8   8.0  51.0          6.9    41           0.0 1000000.0 -1000000.0        0.00
  4117 2016    11  17         33.7    24.0    44.5       27.9  22.0  31.9    80.7  50.0  93.0          4.3    26           0.0 1000000.0 -1000000.0        0.02
  4118 2016    11  18         26.4    18.1    35.6       21.0  15.6  26.3    80.7  60.0 100.0          1.8    11           0.0 1000000.0 -1000000.0        0.24
  4119 2016    11  19         30.5    18.8    48.5       22.3  15.6  30.8    73.3  47.0  92.0          1.9    12           0.0 1000000.0 -1000000.0        0.03
  4120 2016    11  20         56.5    30.7    69.8       27.0  20.4  32.0    34.1  20.0  85.0          5.3    29           0.0 1000000.0 -1000000.0        0.00
  4121 2016    11  21         48.7    35.3    64.5       32.5  28.4  39.5    56.2  28.0  77.0          3.8    20           0.0 1000000.0 -1000000.0        0.00
  4122 2016    11  22         40.5    30.7    48.3       33.2  26.7  40.4    75.8  57.0  91.0          3.2    16           0.0 1000000.0 -1000000.0        0.13
  4123 2016    11  23         35.3    25.2    46.2       26.3  21.7  30.8    71.0  44.0  88.0          2.8    20           0.0 1000000.0 -1000000.0        0.00
  4124 2016    11  24         40.4    27.4    49.1       12.6   1.1  26.5    34.5  14.0  65.0          8.8    48           0.0 1000000.0 -1000000.0        0.00
  4125 2016    11  25         38.0    19.1    60.7       13.0   3.3  25.2    42.1  10.0  76.0          2.8    18           0.0 1000000.0 -1000000.0        0.00
  4126 2016    11  26         46.4    33.7    59.9        5.0  -8.5  16.7    20.0   6.0  46.0          4.3    19           0.0 1000000.0 -1000000.0        0.00
  4127 2016    11  27         41.2    29.3    49.0       16.4   9.1  29.1    37.0  24.0  54.0          6.4    41           0.0 1000000.0 -1000000.0        0.00
  4128 2016    11  28         37.6    28.1    43.8       11.1   7.1  15.9    34.0  23.0  53.0          5.4    27           0.0 1000000.0 -1000000.0        0.00
  4129 2016    11  29         32.1    23.2    40.0        8.9   3.5  15.7    39.2  23.0  63.0          3.0    16           0.0 1000000.0 -1000000.0        0.00
  4130 2016    11  30         27.9    14.8    39.8        6.4   2.0  12.6    42.6  22.0  73.0          3.1    16           0.0 1000000.0 -1000000.0        0.02
  4131 2016    12   1         29.5    21.1    39.7        8.6   3.2  11.0    42.0  28.0  60.0          2.8    13           0.0 1000000.0 -1000000.0        0.01
  4132 2016    12   2         28.2    21.8    32.1       17.6   8.1  25.4    65.2  43.0  83.0          3.6    13           0.0 1000000.0 -1000000.0        0.00
  4133 2016    12   3         29.4    17.1    42.9       14.0   6.8  22.5    55.7  27.0  84.0          4.4    33           0.0 1000000.0 -1000000.0        0.00
  4134 2016    12   4         39.3    20.0    54.6       13.2   4.7  20.9    35.9  21.0  59.0          6.2    42           0.0 1000000.0 -1000000.0        0.00
  4135 2016    12   5         41.4    23.5    54.9       14.5  -4.2  27.3    33.4  23.0  48.0         17.3    53           0.0 1000000.0 -1000000.0        0.00
  4136 2016    12   6         21.6    14.6    28.3        5.8  -4.2  18.3    53.5  29.0  88.0          4.9    30           0.0 1000000.0 -1000000.0        0.09
  4137 2016    12   7         11.0     3.0    18.8        6.6  -1.6  15.7    82.1  74.0  93.0          3.6    21           0.0 1000000.0 -1000000.0        0.05
  4138 2016    12   8          7.6     1.3    13.7        1.8  -4.6   7.1    76.9  69.0  89.0          3.0    11           0.0 1000000.0 -1000000.0        0.00
  4139 2016    12   9         22.3     4.3    48.5       14.7   0.4  28.6    73.7  41.0  92.0          2.9    16           0.0 1000000.0 -1000000.0        0.00
  4140 2016    12  10         37.9    18.7    54.5       25.1  15.8  35.4    63.6  36.0  96.0          9.7    55           0.0 1000000.0 -1000000.0        0.00
  4141 2016    12  11         33.1    24.0    44.2       28.9  21.5  34.0    84.6  55.0  92.0          3.3    18           0.0 1000000.0 -1000000.0        0.04
  4142 2016    12  12         32.1    23.1    42.8       23.2  11.4  28.1    71.2  33.0  91.0          3.0    22           0.0 1000000.0 -1000000.0        0.00
  4143 2016    12  13         38.0    28.0    46.7       11.2   5.4  18.3    34.6  19.0  61.0         11.6    36           0.0 1000000.0 -1000000.0        0.00
  4144 2016    12  14         20.6    14.3    28.3       11.6   8.2  19.0    67.8  58.0  80.0          3.0    19           0.0 1000000.0 -1000000.0        0.00
  4145 2016    12  15         38.8    15.6    65.0       17.5   9.3  30.6    49.7  16.0  78.0          7.2    44           0.0 1000000.0 -1000000.0        0.00
  4146 2016    12  16         29.1     6.4    55.4       18.5   2.3  29.8    65.8  37.0  85.0          5.7    24           0.0 1000000.0 -1000000.0        0.15
  4147 2016    12  17          0.9    -6.8     6.6       -4.5 -11.7   2.5    77.7  67.0  84.0          3.2    15           0.0 1000000.0 -1000000.0        0.05
  4148 2016    12  18          6.0    -6.7    21.6       -0.3 -11.5   9.9    75.4  55.0  92.0          2.3    12           0.0 1000000.0 -1000000.0        0.00
  4149 2016    12  19         26.6     3.3    49.7        8.5  -2.0  22.7    53.3  16.0  85.0          4.2    31           0.0 1000000.0 -1000000.0        0.00
  4150 2016    12  20         50.4    41.2    59.3       18.1   7.3  24.6    28.1  19.0  48.0         10.1    48           0.0 1000000.0 -1000000.0        0.00
  4151 2016    12  21         40.7    32.5    54.7       19.1   6.1  25.3    43.8  18.0  62.0          4.5    20           0.0 1000000.0 -1000000.0        0.00
  4152 2016    12  22         31.5    24.9    40.2       21.1  18.3  24.4    65.7  48.0  79.0          1.6    12           0.0 1000000.0 -1000000.0        0.00
  4153 2016    12  23         38.6    25.7    56.8       21.1  14.7  24.6    55.0  19.0  84.0          4.4    36           0.0 1000000.0 -1000000.0        0.00
  4154 2016    12  24         33.4    22.1    49.3       21.1  16.4  25.1    62.6  36.0  79.0          1.8     9           0.0 1000000.0 -1000000.0        0.00
  4155 2016    12  25         30.9    19.2    41.0       17.1   6.6  26.0    61.5  24.0  88.0         11.3    64           0.0 1000000.0 -1000000.0        0.00
  4156 2016    12  26         27.3    12.6    43.6       12.1   5.8  18.6    59.1  21.0  86.0          3.5    23           0.0 1000000.0 -1000000.0        0.00
  4157 2016    12  27         34.6    14.3    53.9       14.5   6.3  19.5    50.5  18.0  86.0          5.7    55           0.0 1000000.0 -1000000.0        0.00
  4158 2016    12  28         44.2    27.9    50.0       19.3  10.3  25.6    37.0  27.0  58.0         12.8    52           0.0 1000000.0 -1000000.0        0.00
  4159 2016    12  29         29.6    19.0    49.0       15.3   9.6  18.7    56.5  20.0  76.0          3.0    27           0.0 1000000.0 -1000000.0        0.00
  4160 2016    12  30         52.5    39.9    67.2        5.0  -8.2  10.3    15.4   5.0  25.0          7.5    32           0.0 1000000.0 -1000000.0        0.00
  4161 2016    12  31         29.5    20.2    44.0       18.5   7.4  21.6    65.1  22.0  81.0          3.0    22           0.0 1000000.0 -1000000.0        0.00
  4162 2017     1   1         29.7    16.6    45.3       16.4  10.7  21.3    60.1  32.0  80.0          1.8    10           0.0 1000000.0 -1000000.0        0.00
  4163 2017     1   2         28.6    15.9    50.4       18.8  10.0  24.7    68.7  22.0  92.0          3.7    27           0.0 1000000.0 -1000000.0        0.00
  4164 2017     1   3         19.3    13.0    29.9       13.8   8.3  20.5    79.2  60.0  89.0          3.2    14           0.0 1000000.0 -1000000.0        0.00
  4165 2017     1   4         10.3     4.9    13.2        6.7   1.0  10.4    85.4  81.0  95.0          3.9    14           0.0 1000000.0 -1000000.0        0.16
  4166 2017     1   5          5.5     1.1     7.9        0.7  -3.4   3.7    80.4  75.0  94.0          2.0     9           0.0 1000000.0 -1000000.0        0.20
  4167 2017     1   6          6.3    -9.7    30.3       -1.2 -14.2  11.3    73.0  30.0  92.0          2.0    12           0.0 1000000.0 -1000000.0        0.00
  4168 2017     1   7         11.9    -0.6    27.1        4.3  -5.0  14.4    72.8  45.0  88.0          2.0    12           0.0 1000000.0 -1000000.0        0.00
  4169 2017     1   8         39.8    12.2    52.9       24.8   8.0  30.5    57.1  35.0  84.0          6.7    43           0.0 1000000.0 -1000000.0        0.00
  4170 2017     1   9         51.3    30.0    58.7       31.0  21.4  36.3    47.5  32.0  84.0         23.6    65           0.0 1000000.0 -1000000.0        0.04
  4171 2017     1  10         43.6    33.8    51.0       19.6  16.4  23.7    38.8  27.0  57.0         11.6    52           0.0 1000000.0 -1000000.0        0.00
  4172 2017     1  11         40.9    24.6    53.2       25.1  18.0  32.1    55.0  37.0  91.0         13.4    56           0.0 1000000.0 -1000000.0        0.00
  4173 2017     1  12         32.6    21.9    41.9       21.8  17.3  25.6    65.8  38.0  87.0          6.5    24           0.0 1000000.0 -1000000.0        0.00
  4174 2017     1  13         28.6    20.8    40.1       22.0  17.5  27.2    76.9  57.0  88.0          2.2     9           0.0 1000000.0 -1000000.0        0.00
  4175 2017     1  14         30.6    20.5    41.9       23.4  17.2  29.2    75.5  53.0  89.0          0.9     8           0.0 1000000.0 -1000000.0        0.00
  4176 2017     1  15         31.5    23.8    37.8       25.0  20.2  29.8    77.3  60.0  89.0          1.8     9           0.0 1000000.0 -1000000.0        0.00
  4177 2017     1  16         33.7    29.8    39.4       29.5  26.4  32.2    85.0  65.0  94.0          0.3     5           0.0 1000000.0 -1000000.0        0.23
  4178 2017     1  17         30.5    19.0    49.6       23.6  16.3  30.7    77.3  44.0  93.0          1.1     9           0.0 1000000.0 -1000000.0        0.00
  4179 2017     1  18         33.7    17.6    55.9       18.3  12.7  24.3    58.3  24.0  86.0          2.0    11           0.0 1000000.0 -1000000.0        0.00
  4180 2017     1  19         36.3    21.9    53.9       21.1  16.7  26.0    57.4  30.0  82.0          2.2    12           0.0 1000000.0 -1000000.0        0.00
  4181 2017     1  20         37.7    30.4    47.3       25.4  14.5  29.6    62.0  39.0  74.0          3.0    19           0.0 1000000.0 -1000000.0        0.00
  4182 2017     1  21         32.2    21.8    41.1       22.6  16.0  28.6    68.8  46.0  92.0          2.2    11           0.0 1000000.0 -1000000.0        0.00
  4183 2017     1  22         36.5    23.5    47.6       13.0   3.8  23.1    41.4  17.0  81.0          4.4    27           0.0 1000000.0 -1000000.0        0.00
  4184 2017     1  23         39.4    28.2    51.2       23.5  16.4  30.3    54.5  34.0  86.0          3.3    24           0.0 1000000.0 -1000000.0        0.00
  4185 2017     1  24         26.0    21.2    34.3       21.1  15.1  29.6    81.8  61.0  92.0          3.7    14           0.0 1000000.0 -1000000.0        0.00
  4186 2017     1  25         22.9    16.5    30.5       13.5   9.5  17.1    67.9  48.0  83.0          2.0    14           0.0 1000000.0 -1000000.0        0.00
  4187 2017     1  26         20.4    12.1    30.3        5.8  -3.0  11.9    54.4  28.0  76.0          3.8    21           0.0 1000000.0 -1000000.0        0.00
  4188 2017     1  27         26.9     9.6    42.3        4.5  -2.7  10.8    40.5  21.0  65.0          3.2    18           0.0 1000000.0 -1000000.0        0.00
  4189 2017     1  28         35.1    16.9    49.1       12.1   7.5  16.8    41.4  24.0  69.0          5.7    28           0.0 1000000.0 -1000000.0        0.00
  4190 2017     1  29         49.0    33.9    60.9       14.7   9.6  18.3    26.1  13.0  43.0          7.1    30           0.0 1000000.0 -1000000.0        0.00
  4191 2017     1  30         52.5    45.1    60.3       15.5  12.3  19.5    23.1  17.0  32.0          9.5    43           0.0 1000000.0 -1000000.0        0.00
  4192 2017     1  31         51.2    37.8    61.9       12.3   4.5  21.6    23.0  11.0  51.0          6.2    34           0.0 1000000.0 -1000000.0        0.00
